round,PeopTotal,nets.yn,nets.count,in.outdoor,cul_male,cul_female,ara_male,ara_female_Pfneg,ara_female_Pfpos,funss_male,funss_female_Pfneg,funss_female_Pfpos,Focal.Area,month,Cluster,Treatment
1to5,3,No,0,Indoors,0,0,0,0,0,0,0,0,A,2016-03,A.1,Control
1to5,3,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2016-03,A.1,Control
8,3,Yes,1,Outdoors,0,0,0,0,0,0,0,0,A,2016-10,A.1,Control
8,3,Yes,1,Indoors,0,0,0,0,0,0,0,0,A,2016-10,A.1,Control
7,3,Yes,1,Outdoors,0,0,0,0,0,0,0,0,A,2016-08,A.1,Control
7,3,Yes,1,Indoors,0,0,0,0,0,0,0,0,A,2016-08,A.1,Control
1to5,1,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2015-06,A.1,Control
9,4,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2016-12,A.1,Control
9,4,Yes,1,Indoors,0,0,0,0,0,0,0,0,A,2016-12,A.1,Control
1to5,1,No,0,Indoors,0,0,0,0,0,0,0,0,A,2015-06,A.1,Control
1to5,2,No,0,Indoors,0,0,0,0,0,0,0,0,A,2015-06,A.1,Control
1to5,2,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2015-06,A.1,Control
16,2,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2018-01,A.1,Control
16,2,No,0,Indoors,0,0,0,0,0,0,0,0,A,2018-02,A.1,Control
1to5,5,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2015-08,A.1,Control
1to5,5,No,0,Indoors,0,0,0,1,0,0,0,0,A,2015-08,A.1,Control
1to5,4,No,0,Indoors,0,0,0,0,0,0,0,0,A,2015-10,A.1,Control
1to5,4,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2015-10,A.1,Control
1to5,5,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2015-06,A.1,Control
1to5,5,No,0,Indoors,0,0,0,0,0,0,0,0,A,2015-06,A.1,Control
15,2,Yes,1,Outdoors,0,0,0,0,0,0,0,0,A,2017-11,A.1,Control
15,2,Yes,1,Indoors,0,0,0,0,0,0,0,0,A,2017-11,A.1,Control
1to5,2,No,0,Indoors,0,0,0,0,0,0,0,0,A,2015-08,A.1,Control
16,2,No,0,Indoors,0,0,0,0,0,0,0,0,A,2018-01,A.1,Control
1to5,2,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2015-08,A.1,Control
16,2,No,0,Outdoors,0,0,0,0,0,0,0,0,A,2018-02,A.1,Control
15,3,Yes,1,Outdoors,0,0,0,0,0,0,0,0,A,2017-11,A.1,Control
15,3,Yes,1,Indoors,0,0,0,0,0,0,0,0,A,2017-11,A.1,Control
1to5,2,No,0,Indoors,0,0,0,0,0,0,0,0,A,2015-08,A.1,Control
1to5,5,Yes,1,Outdoors,0,0,0,4,0,0,0,0,A,2015-06,A.1,Control
